metric	value	haplotype	asm_method	asm_name	source	chromosome
mapped_sequences_n	44	haplotype1	phased_verkko	T2T00	stat	NA
primary_alignments_n	12487	haplotype1	phased_verkko	T2T00	stat	NA
secondary_alignments_n	1242	haplotype1	phased_verkko	T2T00	stat	NA
primary_alignments_long_cigar_n	0	haplotype1	phased_verkko	T2T00	stat	NA
bases_in_mapped_sequences	2926888795	haplotype1	phased_verkko	T2T00	stat	NA
bases_mapped	2901560785	haplotype1	phased_verkko	T2T00	stat	NA
substitutions	3927620	haplotype1	phased_verkko	T2T00	stat	NA
insertions_length_0_50	342507	haplotype1	phased_verkko	T2T00	stat	NA
insertions_length_50_100	3379	haplotype1	phased_verkko	T2T00	stat	NA
insertions_length_100_300	4030	haplotype1	phased_verkko	T2T00	stat	NA
insertions_length_300_400	1923	haplotype1	phased_verkko	T2T00	stat	NA
insertions_length_400_1000	1734	haplotype1	phased_verkko	T2T00	stat	NA
insertions_length_1000_inf	2507	haplotype1	phased_verkko	T2T00	stat	NA
deletions_length_0_50	400591	haplotype1	phased_verkko	T2T00	stat	NA
deletions_length_50_100	3296	haplotype1	phased_verkko	T2T00	stat	NA
deletions_length_100_300	3467	haplotype1	phased_verkko	T2T00	stat	NA
deletions_length_300_400	1912	haplotype1	phased_verkko	T2T00	stat	NA
deletions_length_400_1000	2332	haplotype1	phased_verkko	T2T00	stat	NA
deletions_length_1000_inf	2516	haplotype1	phased_verkko	T2T00	stat	NA
mapped_sequences_n	73	haplotype2	phased_verkko	T2T00	stat	NA
primary_alignments_n	13383	haplotype2	phased_verkko	T2T00	stat	NA
secondary_alignments_n	2329	haplotype2	phased_verkko	T2T00	stat	NA
primary_alignments_long_cigar_n	0	haplotype2	phased_verkko	T2T00	stat	NA
bases_in_mapped_sequences	3038358603	haplotype2	phased_verkko	T2T00	stat	NA
bases_mapped	3010037120	haplotype2	phased_verkko	T2T00	stat	NA
substitutions	4025755	haplotype2	phased_verkko	T2T00	stat	NA
insertions_length_0_50	358093	haplotype2	phased_verkko	T2T00	stat	NA
insertions_length_50_100	3559	haplotype2	phased_verkko	T2T00	stat	NA
insertions_length_100_300	3104	haplotype2	phased_verkko	T2T00	stat	NA
insertions_length_300_400	2120	haplotype2	phased_verkko	T2T00	stat	NA
insertions_length_400_1000	1689	haplotype2	phased_verkko	T2T00	stat	NA
insertions_length_1000_inf	2338	haplotype2	phased_verkko	T2T00	stat	NA
deletions_length_0_50	417751	haplotype2	phased_verkko	T2T00	stat	NA
deletions_length_50_100	3665	haplotype2	phased_verkko	T2T00	stat	NA
deletions_length_100_300	3242	haplotype2	phased_verkko	T2T00	stat	NA
deletions_length_300_400	2169	haplotype2	phased_verkko	T2T00	stat	NA
deletions_length_400_1000	2034	haplotype2	phased_verkko	T2T00	stat	NA
deletions_length_1000_inf	2065	haplotype2	phased_verkko	T2T00	stat	NA
mapped_sequences_n	689	NA	phased_verkko	T2T00	stat	NA
primary_alignments_n	26873	NA	phased_verkko	T2T00	stat	NA
secondary_alignments_n	20391	NA	phased_verkko	T2T00	stat	NA
primary_alignments_long_cigar_n	0	NA	phased_verkko	T2T00	stat	NA
bases_in_mapped_sequences	6012131472	NA	phased_verkko	T2T00	stat	NA
bases_mapped	5958302862	NA	phased_verkko	T2T00	stat	NA
substitutions	8022636	NA	phased_verkko	T2T00	stat	NA
insertions_length_0_50	726383	NA	phased_verkko	T2T00	stat	NA
insertions_length_50_100	7176	NA	phased_verkko	T2T00	stat	NA
insertions_length_100_300	7177	NA	phased_verkko	T2T00	stat	NA
insertions_length_300_400	4061	NA	phased_verkko	T2T00	stat	NA
insertions_length_400_1000	3607	NA	phased_verkko	T2T00	stat	NA
insertions_length_1000_inf	4960	NA	phased_verkko	T2T00	stat	NA
deletions_length_0_50	848322	NA	phased_verkko	T2T00	stat	NA
deletions_length_50_100	7121	NA	phased_verkko	T2T00	stat	NA
deletions_length_100_300	6757	NA	phased_verkko	T2T00	stat	NA
deletions_length_300_400	4094	NA	phased_verkko	T2T00	stat	NA
deletions_length_400_1000	4634	NA	phased_verkko	T2T00	stat	NA
deletions_length_1000_inf	4702	NA	phased_verkko	T2T00	stat	NA
mapped_sequences_n	47	haplotype1	phased_verkko	T2T01	stat	NA
primary_alignments_n	9428	haplotype1	phased_verkko	T2T01	stat	NA
secondary_alignments_n	1307	haplotype1	phased_verkko	T2T01	stat	NA
primary_alignments_long_cigar_n	0	haplotype1	phased_verkko	T2T01	stat	NA
bases_in_mapped_sequences	3012154039	haplotype1	phased_verkko	T2T01	stat	NA
bases_mapped	2989185139	haplotype1	phased_verkko	T2T01	stat	NA
substitutions	3572083	haplotype1	phased_verkko	T2T01	stat	NA
insertions_length_0_50	352888	haplotype1	phased_verkko	T2T01	stat	NA
insertions_length_50_100	3257	haplotype1	phased_verkko	T2T01	stat	NA
insertions_length_100_300	2762	haplotype1	phased_verkko	T2T01	stat	NA
insertions_length_300_400	2053	haplotype1	phased_verkko	T2T01	stat	NA
insertions_length_400_1000	1660	haplotype1	phased_verkko	T2T01	stat	NA
insertions_length_1000_inf	2171	haplotype1	phased_verkko	T2T01	stat	NA
deletions_length_0_50	411198	haplotype1	phased_verkko	T2T01	stat	NA
deletions_length_50_100	3164	haplotype1	phased_verkko	T2T01	stat	NA
deletions_length_100_300	2848	haplotype1	phased_verkko	T2T01	stat	NA
deletions_length_300_400	2089	haplotype1	phased_verkko	T2T01	stat	NA
deletions_length_400_1000	1973	haplotype1	phased_verkko	T2T01	stat	NA
deletions_length_1000_inf	2156	haplotype1	phased_verkko	T2T01	stat	NA
